id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2595,SkylitMidtownCastle,2845,Jennifer,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,225,30,48,11/4/19,0.31,3,308,0,
5121,BlissArtsSpace,7356,Garon,Brooklyn,Bedford-Stuyvesant,40.68535,-73.95512,Private room,60,30,50,12/2/19,0.32,2,365,0,
5136,SpaciousBrooklynDuplexPatioGarden,7378,Rebecca,Brooklyn,Sunset Park,40.66265,-73.99454,Entire home/apt,275,21,2,8/8/21,0.02,1,250,1,
5178,LargeFurnishedRoomNearBway,8967,Shunichi,Manhattan,Midtown,40.76457,-73.98317,Private room,68,2,536,5/9/22,3.37,1,172,62,
5203,CozyCleanGuestRoomFamilyApt,7490,MaryEllen,Manhattan,Upper West Side,40.8038,-73.96751,Private room,75,2,118,7/21/17,0.76,1,0,0,
5295,BeautifulbronUpperWestSide,7702,Lena,Manhattan,Morningside Heights,40.80316,-73.96387,Entire home/apt,135,30,56,8/22/21,0.35,2,30,1,
5803,LovelyRoominBESTAREALegalRentalSpotless,9744,Laurie,Brooklyn,South Slope,40.66801,-73.98784,Private room,118,4,211,5/18/22,1.32,3,312,26,
6848,OnlystopstoManhattanstudio,15991,Allen & Irina,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,84,30,184,2/20/22,1.16,1,227,4,
74860,SunlitandCozyWilliamsburgGreenpointBrooklyn,394752,Allison,Brooklyn,Greenpoint,40.72364,-73.95013,Entire home/apt,75,30,3,10/30/19,0.02,1,0,0,
6872,UptownSanctuarywPrivateBathMonthtoMonth,16104,Kae,Manhattan,East Harlem,40.80107,-73.94255,Private room,65,30,0,,,2,334,0,
44229,BROOKLYNVICTORIANSTYLESUITE,181376,Carol,Brooklyn,Fort Greene,40.69287,-73.97108,Private room,110,30,231,2/11/20,1.63,2,335,0,
6990,UESBeautifulBlueRoom,16800,Cyn,Manhattan,East Harlem,40.78778,-73.94759,Private room,62,30,238,5/10/22,1.55,1,254,5,
75635,BrightCozyChinatownStudioApt,401696,Patricia,Manhattan,Lower East Side,40.71911,-73.98588,Entire home/apt,160,3,336,5/26/22,2.45,1,182,14,
7064,AmazinglocationWburgLargebrighttranquil,17297,Joelle,Brooklyn,Williamsburg,40.71248,-73.95881,Private room,90,7,9,8/31/15,0.06,2,5,0,
7097,PerfectforYourParentsPrivacyGarden,17571,Jane,Brooklyn,Fort Greene,40.691083,-73.972544,Entire home/apt,199,2,294,5/21/22,1.95,2,273,44,
7801,SweetandSpaciousBrooklynLoft,21207,Chaya,Brooklyn,Williamsburg,40.71778,-73.9568,Entire home/apt,395,30,9,12/28/11,0.06,1,348,0,
77517,RoominWillyburgLoftOnlyLongStays,415660,Carmen,Brooklyn,Williamsburg,40.71407,-73.96657,Private room,100,28,3,7/23/12,0.02,3,338,0,
44288,PrivatestudioinWestVillageonquitestreet,193637,Sara,Manhattan,West Village,40.73737,-74.00437,Entire home/apt,170,30,88,12/7/20,0.61,1,132,0,
44973,CreativeSouthWilliamsburgStudio,198411,Anastasia,Brooklyn,Williamsburg,40.70894,-73.95234,Entire home/apt,104,30,125,4/2/22,0.88,1,122,4,
8490,MaisondesSirenesbohemianluminousapartment,25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68462,-73.93839,Entire home/apt,135,2,149,4/8/22,0.96,2,260,19,
77765,SuperioratBoxHouse,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73777,-73.95366,Hotel room,250,3,41,4/24/22,0.3,30,202,3,
9357,MidtownPiedaterre,30193,Tommi,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,175,30,58,8/13/17,0.38,1,0,0,
9704,Spaciousbedroominluxebuilding,32045,Teri,Manhattan,Harlem,40.81317,-73.95465,Private room,55,30,98,3/14/20,1.01,1,116,0,
10452,LargeBBStylerooms,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,82,30,80,5/23/22,0.54,5,263,4,
80493,CozyroominEastVillagewithAC,434987,Jennifer,Manhattan,East Village,40.72322,-73.98615,Private room,55,2,201,4/22/22,1.48,1,98,4,
80684,DuplexwTerraceatBoxHouseHotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,Hotel room,529,3,10,11/13/21,0.08,30,164,2,
